case	ecli	celex
C-39/20	ECLI:EU:C:2021:435	62020CJ0039
C-55/20	ECLI:EU:C:2022:6	62020CJ0055
C-56/20	ECLI:EU:C:2021:333	62020CJ0056
C-71/20	ECLI:EU:C:2021:550	62020CJ0071
C-86/20	ECLI:EU:C:2022:320	62020CJ0086
C-90/20	ECLI:EU:C:2022:37	62020CJ0090
C-123/20	ECLI:EU:C:2021:889	62020CJ0123
C-140/20	ECLI:EU:C:2022:258	62020CJ0140
C-146/20	ECLI:EU:C:2021:1038	62020CJ0146
C-165/20	ECLI:EU:C:2022:42	62020CJ0165
C-175/20	ECLI:EU:C:2022:124	62020CJ0175
C-179/20	ECLI:EU:C:2022:58	62020CJ0179
C-181/20	ECLI:EU:C:2022:51	62020CJ0181
C-192/20	ECLI:EU:C:2021:480	62020CJ0192
C-204/20	ECLI:EU:C:2022:892	62020CJ0204
C-210/20	ECLI:EU:C:2021:445	62020CJ0210
C-231/20	ECLI:EU:C:2021:845	62020CJ0231
C-237/20	ECLI:EU:C:2022:321	62020CJ0237
C-238/20	ECLI:EU:C:2022:57	62020CJ0238
C-253/20	ECLI:EU:C:2022:894	62020CJ0253
C-257/20	ECLI:EU:C:2022:125	62020CJ0257
C-263/20	ECLI:EU:C:2021:1039	62020CJ0263
C-347/20	ECLI:EU:C:2022:59	62020CJ0347
C-353/20	ECLI:EU:C:2022:423	62020CJ0353
C-377/20	ECLI:EU:C:2022:379	62020CJ0377
C-388/20	ECLI:EU:C:2021:913	62020CJ0388
C-394/20	ECLI:EU:C:2021:1044	62020CJ0394
C-410/20	ECLI:EU:C:2022:351	62020CJ0410
C-411/20	ECLI:EU:C:2022:602	62020CJ0411
C-420/20	ECLI:EU:C:2022:679	62020CJ0420
C-436/20	ECLI:EU:C:2022:559	62020CJ0436
C-473/20	ECLI:EU:C:2022:804	62020CJ0473
C-500/20	ECLI:EU:C:2022:563	62020CJ0500
C-531/20	ECLI:EU:C:2022:316	62020CJ0531
C-538/20	ECLI:EU:C:2022:717	62020CJ0538
C-559/20	ECLI:EU:C:2022:317	62020CJ0559
C-561/20	ECLI:EU:C:2022:266	62020CJ0561
C-569/20	ECLI:EU:C:2022:401	62020CJ0569
C-582/20	ECLI:EU:C:2022:114	62020CJ0582
C-589/20	ECLI:EU:C:2022:424	62020CJ0589
C-597/20	ECLI:EU:C:2022:735	62020CJ0597
C-599/20	ECLI:EU:C:2022:457	62020CJ0599
C-612/20	ECLI:EU:C:2022:314	62020CJ0612
C-614/20	ECLI:EU:C:2022:641	62020CJ0614
C-616/20	ECLI:EU:C:2022:781	62020CJ0616
C-617/20	ECLI:EU:C:2022:426	62020CJ0617
C-634/20	ECLI:EU:C:2022:149	62020CJ0634
C-637/20	ECLI:EU:C:2022:304	62020CJ0637
C-638/20	ECLI:EU:C:2022:916	62020CJ0638
C-645/20	ECLI:EU:C:2022:267	62020CJ0645
C-659/20	ECLI:EU:C:2022:642	62020CJ0659
C-705/20	ECLI:EU:C:2022:680	62020CJ0705
C-707/20	ECLI:EU:C:2023:101	62020CJ0707
C-713/20	ECLI:EU:C:2022:782	62020CJ0713
C-721/20	ECLI:EU:C:2022:832	62020CJ0721
C-1/21	ECLI:EU:C:2022:788	62021CJ0001
C-14/21	ECLI:EU:C:2022:604	62021CJ0014
C-20/21	ECLI:EU:C:2022:71	62021CJ0020
C-36/21	ECLI:EU:C:2022:556	62021CJ0036
C-43/21	ECLI:EU:C:2022:425	62021CJ0043
C-56/21	ECLI:EU:C:2022:509	62021CJ0056
C-58/21	ECLI:EU:C:2022:691	62021CJ0058
C-72/21	ECLI:EU:C:2022:312	62021CJ0072
C-77/21	ECLI:EU:C:2022:805	62021CJ0077
C-102/21	ECLI:EU:C:2022:272	62021CJ0102
C-105/21	ECLI:EU:C:2022:511	62021CJ0105
C-111/21	ECLI:EU:C:2022:808	62021CJ0111
C-122/21	ECLI:EU:C:2022:421	62021CJ0122
C-129/21	ECLI:EU:C:2022:833	62021CJ0129
C-146/21	ECLI:EU:C:2022:512	62021CJ0146
C-150/21	ECLI:EU:C:2022:268	62021CJ0150
C-162/21	ECLI:EU:C:2023:30	62021CJ0162
C-180/21	ECLI:EU:C:2022:967	62021CJ0180
C-197/21	ECLI:EU:C:2022:834	62021CJ0197
C-213/21	ECLI:EU:C:2022:532	62021CJ0213
C-215/21	ECLI:EU:C:2022:723	62021CJ0215
C-228/21	ECLI:EU:C:2023:934	62021CJ0228
C-235/21	ECLI:EU:C:2022:739	62021CJ0235
C-243/21	ECLI:EU:C:2022:889	62021CJ0243
C-247/21	ECLI:EU:C:2022:966	62021CJ0247
C-255/21	ECLI:EU:C:2024:98	62021CJ0255
C-280/21	ECLI:EU:C:2023:13	62021CJ0280
C-295/21	ECLI:EU:C:2022:812	62021CJ0295
C-296/21	ECLI:EU:C:2022:918	62021CJ0296
C-338/21	ECLI:EU:C:2023:269	62021CJ0338
C-347/21	ECLI:EU:C:2022:692	62021CJ0347
C-352/21	ECLI:EU:C:2023:344	62021CJ0352
C-354/21	ECLI:EU:C:2023:184	62021CJ0354
C-355/21	ECLI:EU:C:2022:791	62021CJ0355
C-372/21	ECLI:EU:C:2023:59	62021CJ0372
C-375/21	ECLI:EU:C:2023:173	62021CJ0375
C-376/21	ECLI:EU:C:2022:472	62021CJ0376
